alloc_some_always_min: classic=0.1339s llvm=0.4254s ratio=3.1685
alloc_tuple_pair_min: classic=0.0768s llvm=0.0880s ratio=1.1425
variant_alloc_min: classic=0.1321s llvm=0.4317s ratio=3.2484
recursive_fib_small: classic=0.0257s llvm=0.0257s ratio=1.0188
try_lookup_hit: classic=2.3446s llvm=2.4640s ratio=1.0509
try_lookup_miss: classic=1.9134s llvm=1.9427s ratio=1.0153
object_call_min: classic=0.1964s llvm=0.2352s ratio=1.1988
string_safe_get: classic=0.2228s llvm=0.2139s ratio=0.9604
float_ref_loop: classic=0.2259s llvm=0.2278s ratio=1.0093
int_for_loop: classic=0.2673s llvm=0.2616s ratio=0.9783
SUMMARY_JSON=/Users/julesjacobs/git/oxcaml-llvm/agents/llvm-fast-path-roots-integration/oxcaml/_bench_llvm_slow_cases_current/summary_3pairs.json
